,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income,capital.diff,age.group
8371,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0,46-55
8372,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,<=50K,0,36-45
8373,Federal-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,0,36-45
8374,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,20,United-States,<=50K,0,36-45
8375,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,0,36-45
8376,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0,26-35
8377,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,20,United-States,>50K,0,56-65
8378,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,<=50K,0,46-55
8379,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,0,26-35
8380,Private,Assoc-voc,Never-married,Adm-clerical,Own-child,Black,Female,40,United-States,<=50K,0,26-35
8381,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,0,46-55
8382,Local-gov,HS-grad,Never-married,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,40,United-States,<=50K,0,36-45
8383,Local-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,38,United-States,<=50K,0,56-65
8384,Private,12th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,Mexico,<=50K,0,26-35
8385,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,0,46-55
8386,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0,17-25
8387,Private,Assoc-acdm,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,35,Philippines,<=50K,0,26-35
8388,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,<=50K,0,46-55
8389,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,0,46-55
8390,Private,Some-college,Never-married,Tech-support,Own-child,White,Male,20,United-States,<=50K,0,26-35
8391,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0,26-35
8392,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,0,66-90
8393,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,30,Italy,<=50K,0,56-65
8394,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0,26-35
8395,Local-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,0,26-35
8396,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0,26-35
8397,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,0,26-35
8398,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,16,United-States,<=50K,0,17-25
8399,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0,17-25
8400,Private,Bachelors,Divorced,Sales,Unmarried,White,Female,50,United-States,<=50K,0,46-55
8401,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Male,35,United-States,<=50K,0,46-55
8402,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,0,26-35
8403,Private,HS-grad,Divorced,Other-service,Unmarried,Black,Male,9,United-States,<=50K,0,46-55
8404,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,44,United-States,>50K,0,46-55
8405,Private,Some-college,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,40,Vietnam,<=50K,0,17-25
8406,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,54,United-States,>50K,0,26-35
8407,Private,11th,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K,0,26-35
8408,Private,Assoc-voc,Divorced,Other-service,Unmarried,White,Female,32,United-States,<=50K,0,36-45
8409,Private,5th-6th,Married-spouse-absent,Craft-repair,Other-relative,White,Male,40,Mexico,<=50K,0,46-55
8410,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0,56-65
8411,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0,46-55
8412,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,0,26-35
8413,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,20,United-States,<=50K,0,66-90
8414,Private,10th,Never-married,Prof-specialty,Unmarried,Black,Female,40,United-States,<=50K,0,26-35
8415,Federal-gov,Some-college,Divorced,Prof-specialty,Not-in-family,White,Male,48,United-States,>50K,0,56-65
8416,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0,26-35
8417,Private,10th,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0,26-35
8418,Private,Assoc-voc,Never-married,Tech-support,Unmarried,Black,Female,40,United-States,<=50K,0,17-25
8419,Private,HS-grad,Separated,Sales,Not-in-family,White,Female,32,United-States,<=50K,0,56-65
8420,Federal-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,36-45
8421,Private,7th-8th,Never-married,Handlers-cleaners,Unmarried,White,Male,40,United-States,<=50K,0,17-25
8422,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,0,36-45
8423,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,36-45
8424,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,0,26-35
8425,Private,Bachelors,Separated,Exec-managerial,Not-in-family,White,Female,70,United-States,<=50K,0,26-35
8426,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K,0,46-55
8427,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,42,United-States,>50K,0,56-65
8428,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,24,United-States,<=50K,0,66-90
8429,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,0,36-45
8430,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,0,17-25
8431,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0,17-25
8432,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,50,United-States,<=50K,0,26-35
8433,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,United-States,<=50K,0,56-65
8434,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,>50K,0,36-45
8435,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Other-relative,White,Male,40,United-States,<=50K,0,17-25
8436,Local-gov,Bachelors,Separated,Prof-specialty,Unmarried,Black,Female,40,United-States,<=50K,0,36-45
8437,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,White,Male,40,Dominican-Republic,<=50K,0,46-55
8438,State-gov,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,0,36-45
8439,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,El-Salvador,<=50K,0,26-35
8440,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0,56-65
8441,Private,Some-college,Never-married,Sales,Other-relative,White,Male,65,United-States,<=50K,0,17-25
8442,Private,Some-college,Divorced,Other-service,Not-in-family,White,Female,50,United-States,<=50K,0,26-35
8443,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,>50K,0,36-45
8444,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0,17-25
8445,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,0,36-45
8446,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K,0,26-35
8447,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0,46-55
8448,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,<=50K,0,17-25
8449,Federal-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K,0,46-55
8450,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,0,46-55
8451,State-gov,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,Black,Male,40,United-States,<=50K,0,36-45
8452,Private,11th,Never-married,Transport-moving,Not-in-family,White,Male,60,United-States,>50K,0,36-45
8453,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,40,Mexico,<=50K,0,17-25
8454,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K,0,26-35
8455,Private,Some-college,Never-married,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K,0,26-35
8456,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0,36-45
8457,Private,HS-grad,Separated,Exec-managerial,Unmarried,White,Female,30,United-States,<=50K,0,26-35
8458,Federal-gov,Assoc-acdm,Never-married,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K,0,26-35
8459,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0,36-45
8460,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,0,26-35
8461,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,75,United-States,<=50K,0,46-55
8462,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,35,United-States,<=50K,0,17-25
8463,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Female,35,United-States,<=50K,0,17-25
8464,Private,HS-grad,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,<=50K,0,26-35
8465,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,0,46-55
8466,Self-emp-inc,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,50,United-States,<=50K,0,36-45
8467,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,0,17-25
8468,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0,26-35
8469,Local-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,0,36-45
8470,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,46-55
8471,Private,10th,Never-married,Other-service,Own-child,White,Male,30,United-States,<=50K,0,
8472,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,36,Portugal,>50K,0,36-45
8473,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0,36-45
8474,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0,36-45
8475,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,<=50K,0,36-45
8476,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,40,United-States,<=50K,0,36-45
8477,Private,Bachelors,Never-married,Handlers-cleaners,Other-relative,White,Female,40,Cuba,<=50K,0,17-25
8478,Private,11th,Never-married,Exec-managerial,Own-child,White,Male,20,United-States,<=50K,0,17-25
8479,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,0,46-55
8480,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,8,United-States,<=50K,0,17-25
8481,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K,0,36-45
8482,Private,Some-college,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,24,Vietnam,<=50K,0,17-25
8483,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K,0,36-45
8484,Local-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,0,26-35
8485,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,0,36-45
8486,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,0,26-35
8487,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,18,United-States,<=50K,0,26-35
8488,Private,Some-college,Separated,Tech-support,Unmarried,White,Female,40,United-States,<=50K,0,26-35
8489,Private,Some-college,Married-spouse-absent,Adm-clerical,Own-child,White,Female,15,United-States,<=50K,0,17-25
8490,State-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,0,46-55
8491,Self-emp-not-inc,HS-grad,Divorced,Transport-moving,Unmarried,White,Male,60,United-States,<=50K,0,36-45
8492,Local-gov,9th,Never-married,Other-service,Own-child,White,Male,40,United-States,<=50K,0,26-35
8493,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K,0,17-25
8494,Private,Some-college,Divorced,Craft-repair,Own-child,White,Male,40,United-States,>50K,0,26-35
8495,State-gov,Assoc-acdm,Separated,Other-service,Unmarried,Black,Female,40,United-States,<=50K,0,26-35
8496,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,>50K,0,46-55
8497,Federal-gov,11th,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0,46-55
8498,Private,12th,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,0,17-25
8499,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0,26-35
8500,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,>50K,0,36-45
8501,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0,26-35
8502,Private,10th,Never-married,Prof-specialty,Own-child,White,Female,15,United-States,<=50K,0,
8503,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0,36-45
8504,Local-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,United-States,<=50K,0,36-45
8505,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,60,United-States,<=50K,0,17-25
8506,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,0,46-55
8507,Federal-gov,Some-college,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K,0,56-65
8508,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K,0,36-45
8509,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0,56-65
8510,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K,0,36-45
8511,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0,36-45
8512,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K,0,36-45
8513,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,8,United-States,<=50K,0,56-65
8514,Private,Bachelors,Widowed,Exec-managerial,Unmarried,White,Male,20,United-States,<=50K,0,36-45
8515,Private,Masters,Separated,Other-service,Own-child,White,Female,40,United-States,<=50K,0,17-25
8516,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,35,United-States,<=50K,0,17-25
8517,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,0,56-65
8518,Local-gov,11th,Never-married,Prof-specialty,Own-child,White,Female,20,Puerto-Rico,<=50K,0,
8519,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,16,United-States,>50K,0,26-35
8520,Private,Assoc-acdm,Never-married,Craft-repair,Own-child,Other,Male,50,United-States,<=50K,0,26-35
8521,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,35,United-States,<=50K,0,46-55
8522,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K,0,36-45
8523,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,0,46-55
8524,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Male,40,United-States,<=50K,0,17-25
8525,Private,HS-grad,Never-married,Exec-managerial,Other-relative,White,Male,50,United-States,<=50K,0,26-35
8526,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,10,United-States,<=50K,0,17-25
8527,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0,46-55
8528,State-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0,46-55
8529,Private,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,35,Mexico,<=50K,0,36-45
8530,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,0,56-65
8531,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,<=50K,0,26-35
8532,Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K,0,46-55
8533,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,46-55
8534,Private,HS-grad,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,40,Guatemala,<=50K,0,26-35
8535,Private,9th,Separated,Prof-specialty,Own-child,Black,Male,40,United-States,<=50K,0,36-45
8536,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,0,36-45
8537,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,20,United-States,<=50K,0,17-25
8538,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,0,26-35
8539,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K,0,26-35
8540,Private,Some-college,Never-married,Handlers-cleaners,Unmarried,Black,Male,37,United-States,<=50K,0,26-35
8541,Federal-gov,12th,Never-married,Other-service,Own-child,White,Female,30,United-States,<=50K,0,17-25
8542,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0,46-55
8543,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0,36-45
8544,Private,Assoc-voc,Separated,Exec-managerial,Unmarried,Black,Female,60,United-States,<=50K,0,46-55
8545,Self-emp-not-inc,Assoc-acdm,Divorced,Sales,Not-in-family,White,Male,60,United-States,<=50K,0,26-35
8546,Private,9th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0,26-35
8547,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,0,17-25
8548,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,0,17-25
8549,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,0,36-45
8550,Private,5th-6th,Never-married,Machine-op-inspct,Unmarried,White,Female,40,Mexico,<=50K,0,36-45
8551,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0,26-35
8552,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0,46-55
8553,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,60,United-States,<=50K,0,26-35
8554,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,55,United-States,<=50K,0,56-65
8555,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K,0,26-35
8556,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,0,36-45
8557,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,0,36-45
8558,Private,11th,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,0,17-25
8559,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0,36-45
8560,Private,9th,Married-civ-spouse,Protective-serv,Husband,White,Male,13,United-States,<=50K,0,66-90
8561,State-gov,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,<=50K,0,17-25
8562,Self-emp-not-inc,5th-6th,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,0,36-45
8563,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,30,Japan,<=50K,0,26-35
8564,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0,46-55
8565,Private,Some-college,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,>50K,0,56-65
8566,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K,0,26-35
8567,Local-gov,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,25,United-States,<=50K,0,36-45
8568,Private,HS-grad,Divorced,Adm-clerical,Own-child,Black,Female,40,United-States,<=50K,0,26-35
8569,Federal-gov,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,<=50K,0,26-35
8570,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,Mexico,<=50K,0,17-25
8571,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,20,United-States,<=50K,0,17-25
8572,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,36-45
8573,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,60,United-States,<=50K,0,36-45
8574,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0,26-35
8575,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,Cuba,<=50K,0,56-65
8576,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0,56-65
8577,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Wife,Black,Female,40,United-States,>50K,0,26-35
8578,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Other,Male,49,Mexico,<=50K,0,46-55
8579,Private,12th,Never-married,Sales,Own-child,White,Female,15,United-States,<=50K,0,
8580,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,30,Canada,<=50K,0,26-35
8581,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,30,United-States,>50K,0,56-65
8582,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,24,United-States,<=50K,0,17-25
8583,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,0,46-55
8584,Private,HS-grad,Married-civ-spouse,Priv-house-serv,Wife,White,Female,30,United-States,<=50K,0,46-55
8585,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,Black,Female,25,United-States,<=50K,0,26-35
8586,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,<=50K,0,26-35
8587,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,United-States,<=50K,0,46-55
8588,Federal-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,36-45
8589,State-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Female,40,United-States,<=50K,0,46-55
8590,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,17-25
8591,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0,17-25
8592,State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0,36-45
8593,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,United-States,>50K,0,46-55
8594,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,46-55
8595,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,0,26-35
8596,Private,7th-8th,Separated,Farming-fishing,Not-in-family,White,Male,45,Mexico,<=50K,0,26-35
8597,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0,26-35
8598,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,<=50K,0,46-55
8599,Private,HS-grad,Separated,Sales,Not-in-family,White,Female,47,United-States,<=50K,0,36-45
8600,State-gov,Some-college,Never-married,Other-service,Own-child,White,Male,10,United-States,<=50K,0,17-25
8601,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0,26-35
8602,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,0,26-35
8603,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,>50K,0,36-45
8604,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,30,United-States,<=50K,0,36-45
8605,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,43,United-States,<=50K,0,36-45
8606,Private,11th,Never-married,Craft-repair,Own-child,White,Male,45,United-States,<=50K,0,17-25
8607,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,>50K,0,56-65
8608,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,36-45
8609,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,0,17-25
8610,Self-emp-not-inc,1st-4th,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,40,Mexico,<=50K,0,26-35
8611,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K,0,36-45
8612,Private,11th,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,0,17-25
8613,Local-gov,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0,26-35
8614,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,60,United-States,>50K,0,26-35
8615,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,15,United-States,<=50K,0,17-25
8616,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,20,United-States,<=50K,0,66-90
8617,Private,7th-8th,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,0,56-65
8618,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0,46-55
8619,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,0,36-45
8620,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Female,32,United-States,<=50K,0,26-35
8621,Private,Bachelors,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K,0,26-35
8622,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,36-45
